Transaction,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22
53,Calvin Klein CK One,"Dior J'adore",Annibale Colombo Bed,Annibale Colombo Sofa,Bedside Table African Cherry,Cooking Oil,Green Bell Pepper,Kiwi,Table Lamp,Citrus Squeezer Yellow,Egg Slicer,Fine Mesh Strainer,Hand Blender,Microwave Oven,,,,,,,,
54,"Dior J'adore",Dolce Shine Eau de,Apple,Cat Food,Chicken Meat,Cucumber,Dog Food,Fish Steak,Ice Cream,Milk,Milk,Rice,Table Lamp,Citrus Squeezer Yellow,Ice Cube Tray,Attitude Super Leaves Hand Soap,Olay Ultra Moisture Shea Butter Body Wash,Sunglasses,,,,
55,Calvin Klein CK One,Calvin Klein CK One,Wooden Bathroom Sink With Mirror,Chicken Meat,Cucumber,Ice Cream,Kiwi,Tissue Paper Box,Decoration Swing,Boxed Blender,Carbon Steel Wok,Egg Slicer,Glass,Kitchen Sieve,Knife,Mug Tree Stand,Plate,Silver Pot With Glass Cap,Spice Rack,,,
56,Calvin Klein CK One,Dolce Shine Eau de,Annibale Colombo Bed,Bedside Table African Cherry,Beef Steak,Fish Steak,Potatoes,Protein Powder,Red Onions,Soft Drinks,Tissue Paper Box,Decoration Swing,Hand Blender,Ice Cube Tray,Red Tongs,,,,,,,
57,Cooking Oil,Lemon,Nescafe Coffee,Soft Drinks,Strawberry,Decoration Swing,Chopping Board,Grater Black,Plate,Spice Rack,,,,,,,,,,,,
58,Knoll Saarinen Executive Conference Chair,Honey Jar,Nescafe Coffee,Potatoes,Decoration Swing,Family Tree Photo Frame,House Showpiece Plant,Plate,Silver Pot With Glass Cap,Slotted Turner,Spice Rack,Party Glasses,,,,,,,,,,
59,Annibale Colombo Bed,Knoll Saarinen Executive Conference Chair,Chicken Meat,Green Chili Pepper,Honey Jar,Juice,Protein Powder,Red Onions,Water,Decoration Swing,Table Lamp,Pan,Red Tongs,,,,,,,,,
60,Chanel Coco Noir Eau De,Dolce Shine Eau de,Gucci Bloom Eau de,Apple,Beef Steak,Lemon,Mulberry,Protein Powder,Soft Drinks,Fork,Spice Rack,Spoon,Yellow Peeler,Green and Black Glasses,Green and Black Glasses,Sunglasses,,,,,,
61,Calvin Klein CK One,Apple,Cucumber,Ice Cream,Lemon,Soft Drinks,Egg Slicer,Electric Stove,Glass,Glass,Kitchen Sieve,Red Tongs,Green and Black Glasses,,,,,,,,,
62,Dolce Shine Eau de,Annibale Colombo Sofa,Bedside Table African Cherry,Kiwi,Lemon,Potatoes,Rice,Tissue Paper Box,Water,Boxed Blender,Chopping Board,Citrus Squeezer Yellow,Egg Slicer,Vaseline Men Body and Face Lotion,,,,,,,,
63,Chanel Coco Noir Eau De,Eggs,Green Chili Pepper,Kiwi,Red Onions,Rice,Strawberry,Strawberry,Tissue Paper Box,Decoration Swing,Electric Stove,Glass,Ice Cube Tray,Lunch Box,Red Tongs,Silver Pot With Glass Cap,Spice Rack,Tray,Wooden Rolling Pin,,,
64,Annibale Colombo Sofa,Chicken Meat,Cooking Oil,Cucumber,Fish Steak,Tissue Paper Box,Water,Chopping Board,Microwave Oven,Plate,Red Tongs,Tray,Attitude Super Leaves Hand Soap,Black Sun Glasses,Black Sun Glasses,Party Glasses,Sunglasses,,,,,
65,Calvin Klein CK One,"Dior J'adore",Beef Steak,Green Bell Pepper,Ice Cream,Kiwi,Mulberry,Rice,Strawberry,House Showpiece Plant,Table Lamp,Glass,Hand Blender,Knife,Pan,Red Tongs,Spice Rack,Wooden Rolling Pin,Vaseline Men Body and Face Lotion,,,
66,Annibale Colombo Sofa,Annibale Colombo Sofa,Beef Steak,Cat Food,Cooking Oil,Cucumber,Fish Steak,Green Bell Pepper,Green Chili Pepper,Honey Jar,Ice Cream,House Showpiece Plant,Plant Pot,Bamboo Spatula,Citrus Squeezer Yellow,Fork,Hand Blender,Hand Blender,Ice Cube Tray,Spoon,Wooden Rolling Pin,Party Glasses
67,Calvin Klein CK One,Kiwi,Mulberry,Black Aluminium Cup,Carbon Steel Wok,Egg Slicer,Fine Mesh Strainer,Fine Mesh Strainer,Fork,Glass,Ice Cube Tray,Kitchen Sieve,Pan,Red Tongs,Red Tongs,Spice Rack,Wooden Rolling Pin,Attitude Super Leaves Hand Soap,,,,
68,Annibale Colombo Sofa,Bedside Table African Cherry,Dog Food,Green Chili Pepper,Ice Cream,Juice,Milk,Rice,Tissue Paper Box,Decoration Swing,Bamboo Spatula,Carbon Steel Wok,Egg Slicer,Spice Rack,Spoon,Attitude Super Leaves Hand Soap,Olay Ultra Moisture Shea Butter Body Wash,,,,,
69,"Dior J'adore","Dior J'adore",Annibale Colombo Sofa,Bedside Table African Cherry,Beef Steak,Chicken Meat,Cooking Oil,Honey Jar,Protein Powder,Tissue Paper Box,Water,Decoration Swing,Family Tree Photo Frame,Table Lamp,Black Whisk,Egg Slicer,Fine Mesh Strainer,Fork,Grater Black,Pan,Plate,Slotted Turner
70,Calvin Klein CK One,Chanel Coco Noir Eau De,Dolce Shine Eau de,Annibale Colombo Bed,Bedside Table African Cherry,Chicken Meat,Cooking Oil,Cucumber,Green Bell Pepper,Juice,Lemon,Soft Drinks,Bamboo Spatula,Black Whisk,Fork,Ice Cube Tray,Spoon,Spoon,Yellow Peeler,Green and Black Glasses,,
71,"Dior J'adore",Annibale Colombo Sofa,Knoll Saarinen Executive Conference Chair,Cooking Oil,Dog Food,Kiwi,Mulberry,Red Onions,Strawberry,Table Lamp,Citrus Squeezer Yellow,Hand Blender,Hand Blender,Ice Cube Tray,Yellow Peeler,Classic Sun Glasses,,,,,,
72,Wooden Bathroom Sink With Mirror,Beef Steak,Cat Food,Chicken Meat,Dog Food,Eggs,Fish Steak,Milk,Red Onions,Strawberry,Tissue Paper Box,Decoration Swing,Bamboo Spatula,Carbon Steel Wok,Electric Stove,Electric Stove,Glass,Ice Cube Tray,Kitchen Sieve,Kitchen Sieve,Knife,Mug Tree Stand
73,Calvin Klein CK One,"Dior J'adore",Beef Steak,Beef Steak,Chicken Meat,Cucumber,Eggs,Lemon,Decoration Swing,Table Lamp,Black Whisk,Chopping Board,Fork,Grater Black,Pan,Tray,Tray,,,,,
74,Chanel Coco Noir Eau De,Bedside Table African Cherry,Apple,Cooking Oil,Green Bell Pepper,Juice,Mulberry,Red Onions,Rice,House Showpiece Plant,Black Aluminium Cup,Black Whisk,Boxed Blender,Fork,Glass,Ice Cube Tray,Red Tongs,Spoon,Tray,Yellow Peeler,Party Glasses,Party Glasses
75,Dolce Shine Eau de,Bedside Table African Cherry,Beef Steak,Cooking Oil,Cooking Oil,Fish Steak,Green Bell Pepper,Ice Cream,Mulberry,Nescafe Coffee,Water,Water,Decoration Swing,Citrus Squeezer Yellow,Glass,Knife,Spice Rack,Sunglasses,,,,
76,Wooden Bathroom Sink With Mirror,Kiwi,Rice,Strawberry,Carbon Steel Wok,Citrus Squeezer Yellow,Grater Black,Ice Cube Tray,Kitchen Sieve,Lunch Box,Attitude Super Leaves Hand Soap,,,,,,,,,,,
77,Calvin Klein CK One,Chanel Coco Noir Eau De,Gucci Bloom Eau de,Bedside Table African Cherry,Cucumber,Green Bell Pepper,Green Chili Pepper,Honey Jar,Lemon,Protein Powder,Rice,Tissue Paper Box,Tissue Paper Box,Plant Pot,Black Whisk,Chopping Board,Glass,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Vaseline Men Body and Face Lotion,Black Sun Glasses,Party Glasses
78,Gucci Bloom Eau de,Annibale Colombo Bed,Knoll Saarinen Executive Conference Chair,Chicken Meat,Fish Steak,Fish Steak,Honey Jar,Ice Cream,Nescafe Coffee,Red Onions,Tissue Paper Box,Water,Table Lamp,Electric Stove,Fork,Knife,Microwave Oven,Pan,Red Tongs,Wooden Rolling Pin,Olay Ultra Moisture Shea Butter Body Wash,Black Sun Glasses
79,Calvin Klein CK One,Annibale Colombo Bed,Bedside Table African Cherry,Beef Steak,Cat Food,Honey Jar,Nescafe Coffee,Potatoes,Tissue Paper Box,Decoration Swing,Black Whisk,Fork,Glass,Hand Blender,Lunch Box,Mug Tree Stand,Mug Tree Stand,Tray,Classic Sun Glasses,,,
80,Calvin Klein CK One,"Dior J'adore","Dior J'adore",Gucci Bloom Eau de,Gucci Bloom Eau de,Knoll Saarinen Executive Conference Chair,Green Bell Pepper,Ice Cream,Lemon,Lemon,Milk,Mulberry,Protein Powder,Red Onions,Rice,Soft Drinks,Decoration Swing,Electric Stove,Glass,Grater Black,Ice Cube Tray,Kitchen Sieve
81,Dolce Shine Eau de,Annibale Colombo Sofa,Dog Food,Juice,Protein Powder,Soft Drinks,Strawberry,Water,Decoration Swing,Family Tree Photo Frame,Plant Pot,Bamboo Spatula,Bamboo Spatula,Boxed Blender,Egg Slicer,Grater Black,Hand Blender,Mug Tree Stand,Plate,Spice Rack,Tray,Vaseline Men Body and Face Lotion
82,Wooden Bathroom Sink With Mirror,Cat Food,Cooking Oil,Kiwi,Protein Powder,Protein Powder,Soft Drinks,Water,Decoration Swing,Bamboo Spatula,Fine Mesh Strainer,Grater Black,Yellow Peeler,Yellow Peeler,Black Sun Glasses,Classic Sun Glasses,Sunglasses,,,,,
83,"Dior J'adore",Dolce Shine Eau de,Beef Steak,Chicken Meat,Cooking Oil,Fish Steak,Ice Cream,Potatoes,Protein Powder,Black Whisk,Carbon Steel Wok,Chopping Board,Electric Stove,Pan,Plate,Wooden Rolling Pin,Yellow Peeler,Olay Ultra Moisture Shea Butter Body Wash,Green and Black Glasses,Party Glasses,,
84,Chanel Coco Noir Eau De,Eggs,Red Onions,Soft Drinks,Tissue Paper Box,Water,Decoration Swing,Plant Pot,Boxed Blender,Egg Slicer,Electric Stove,Knife,Pan,Spice Rack,Yellow Peeler,,,,,,,
85,Calvin Klein CK One,Dolce Shine Eau de,Annibale Colombo Sofa,Cooking Oil,Green Bell Pepper,Lemon,Mulberry,Protein Powder,Strawberry,Tissue Paper Box,Egg Slicer,Fine Mesh Strainer,Microwave Oven,Spice Rack,Yellow Peeler,Vaseline Men Body and Face Lotion,Green and Black Glasses,Green and Black Glasses,Party Glasses,Sunglasses,,
86,Knoll Saarinen Executive Conference Chair,Apple,Cooking Oil,Cucumber,Dog Food,Fish Steak,Lemon,Potatoes,Potatoes,Protein Powder,Strawberry,House Showpiece Plant,Plant Pot,Egg Slicer,Fork,Hand Blender,Slotted Turner,Olay Ultra Moisture Shea Butter Body Wash,,,,
87,Calvin Klein CK One,Annibale Colombo Bed,Apple,Chicken Meat,Cucumber,Ice Cream,Lemon,Mulberry,Nescafe Coffee,Family Tree Photo Frame,Family Tree Photo Frame,House Showpiece Plant,Bamboo Spatula,Electric Stove,Glass,Plate,Wooden Rolling Pin,Attitude Super Leaves Hand Soap,Vaseline Men Body and Face Lotion,Black Sun Glasses,Green and Black Glasses,
88,Calvin Klein CK One,Dolce Shine Eau de,Annibale Colombo Sofa,Wooden Bathroom Sink With Mirror,Beef Steak,Cat Food,Lemon,Strawberry,Tissue Paper Box,Water,Carbon Steel Wok,Fine Mesh Strainer,Hand Blender,Pan,Plate,Red Tongs,Slotted Turner,Wooden Rolling Pin,Yellow Peeler,Attitude Super Leaves Hand Soap,Vaseline Men Body and Face Lotion,Black Sun Glasses
89,Dolce Shine Eau de,Gucci Bloom Eau de,Bedside Table African Cherry,Cooking Oil,Eggs,Green Bell Pepper,Juice,Lemon,Lemon,Milk,Family Tree Photo Frame,House Showpiece Plant,Plant Pot,Plant Pot,Hand Blender,Hand Blender,Plate,Spice Rack,Attitude Super Leaves Hand Soap,Olay Ultra Moisture Shea Butter Body Wash,,
90,Gucci Bloom Eau de,Wooden Bathroom Sink With Mirror,Cat Food,Ice Cream,Red Onions,Strawberry,House Showpiece Plant,Plant Pot,Bamboo Spatula,Chopping Board,Egg Slicer,Knife,Slotted Turner,Wooden Rolling Pin,Vaseline Men Body and Face Lotion,,,,,,,
91,Annibale Colombo Bed,Annibale Colombo Sofa,Bedside Table African Cherry,Honey Jar,Juice,Kiwi,Potatoes,Protein Powder,Protein Powder,Soft Drinks,House Showpiece Plant,Table Lamp,Bamboo Spatula,Black Whisk,Carbon Steel Wok,Chopping Board,Electric Stove,Fork,Grater Black,Hand Blender,Kitchen Sieve,Slotted Turner
92,Dolce Shine Eau de,Knoll Saarinen Executive Conference Chair,Wooden Bathroom Sink With Mirror,Apple,Beef Steak,Chicken Meat,Ice Cream,Ice Cream,Lemon,Milk,Potatoes,Rice,Strawberry,Plant Pot,Bamboo Spatula,Carbon Steel Wok,Glass,Grater Black,Knife,Microwave Oven,Microwave Oven,Slotted Turner
